,Date,Sales,Z-Scores
286,2019-09-18,102084.6,-0.8817812650718514
287,2019-09-19,327241.25,1.0206391974025968
288,2019-09-02,221859.15,0.13023217003507923
290,2019-09-21,257648.48,0.43262765215941656
292,2019-09-23,253464.76,0.3972780653838823
293,2019-09-25,225106.11,0.15766677232124765
294,2019-09-26,181864.93,-0.20769177095757999
295,2019-09-27,249551.92,0.36421723026136416
296,2019-09-28,290952.3,0.7140222662939124
297,2019-09-29,307863.93,0.8569140306090981
298,2019-09-30,268042.24,0.5204478507014022
299,2019-09-04,125981.02,-0.6798727787451821
300,2019-09-05,260323.19,0.4552271313894771
301,2019-09-06,175768.65,-0.2592011881432315
302,2019-09-07,182679.57,-0.2008086173596285
303,2019-09-08,201319.16,-0.04331676700506825
304,2019-09-09,202986.43,-0.029229470163203913
